H1,H2,H3,H4,H5,ItemCode,WeekStartDate,Sales,Stock,Price,FirstPrice,Discount,DiscountOnPrice,PrevDiscountRate,PrevWeekStock,PrevSales
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101428969,2023-10-26,16,70,648.1389,925.9167,0.3434,0.30000301323002382396,0.15000150661501191198,74,10
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101434319,2023-09-28,13,227,787.0278,925.9167,0.1821,0.15000150661501191198,0.00000000000000000000,247,7
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101434319,2023-10-26,21,168,648.1389,925.9167,0.3621,0.30000301323002382396,0.15000150661501191198,188,14
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101436849,2023-09-21,58,1160,490.7315,601.8426,0.2113,0.18461820416168612857,0.00000000000000000000,1262,56
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101436849,2023-10-26,61,773,398.1389,601.8426,0.3788,0.33846673532249129590,0.18461820416168612857,963,46
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101436849,2023-11-23,25,657,287.0278,601.8426,0.5389,0.52308493948417742447,0.33846673532249129590,701,27
AYAKKABI,COCUK,NULL,AYAKKABI,BASIC SNEAKER,000000000101436991,2023-09-28,265,2990,351.8426,407.3981,0.1662,0.13636661535731266298,0.00000000000000000000,3142,172
AYAKKABI,COCUK,NULL,AYAKKABI,BASIC SNEAKER,000000000101436991,2023-10-26,191,2145,287.0278,407.3981,0.3362,0.29546112267092065477,0.13636661535731266298,2317,181
AYAKKABI,COCUK,NULL,TERLIK,PANDUF,000000000101437056,2023-09-28,120,1945,212.9537,259.2500,0.2161,0.17857782063645130184,0.00000000000000000000,2008,65
AYAKKABI,COCUK,NULL,TERLIK,PANDUF,000000000101437056,2023-10-12,207,1718,175.9167,259.2500,0.3558,0.32143992285438765671,0.17857782063645130184,1826,106
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101437081,2023-09-21,116,2710,370.3611,444.4352,0.1949,0.16667019173998819176,0.00000000000000000000,2845,101
